ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '35.186.224.45', 'protocol': 'TCP', 'src_p': 54054, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:49.466477'}
THREAT DETECTED: {'src_ip': '35.186.224.45', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 54054, 'timestamp': '2025-05-11 17:16:49.512056'}
ANOMALY DETECTED: {'src_ip': '199.232.17.91', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60261, 'timestamp': '2025-05-11 17:16:50.880785'}
THREAT DETECTED: {'src_ip': '199.232.17.91', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60261, 'timestamp': '2025-05-11 17:16:51.281782'}
ANOMALY DETECTED: {'src_ip': '52.123.128.14', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60279, 'timestamp': '2025-05-11 17:16:56.536804'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '52.123.128.14', 'protocol': 'TCP', 'src_p': 60279, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:56.537223'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '52.123.128.14', 'protocol': 'TCP', 'src_p': 60279, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:56.537299'}
ANOMALY DETECTED: {'src_ip': '52.123.128.14', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60279, 'timestamp': '2025-05-11 17:16:56.579563'}
THREAT DETECTED: {'src_ip': '52.123.128.14', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60279, 'timestamp': '2025-05-11 17:16:56.709807'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 1900, 'dst_p': 60281, 'timestamp': '2025-05-11 17:16:57.410911'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 1900, 'dst_p': 60281, 'timestamp': '2025-05-11 17:16:57.411591'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 1900, 'dst_p': 60283, 'timestamp': '2025-05-11 17:16:57.425314'}
